state_history,actions
"[[40.0, -9.0], [39.0, -9.0], [39.0, -8.0], [39.0, -8.0]]","[1.9999999987837964, 0.0]"
"[[39.0, -9.0], [39.0, -8.0], [39.0, -8.0], [38.0, -7.0]]","[1.99999999932935, 0.0]"
"[[39.0, -8.0], [39.0, -8.0], [38.0, -7.0], [38.0, -7.0]]","[1.9999999989483115, 0.0]"
"[[39.0, -8.0], [38.0, -7.0], [38.0, -7.0], [38.0, -6.0]]","[1.9999999999909983, 0.0]"
"[[38.0, -7.0], [38.0, -7.0], [38.0, -6.0], [37.0, -6.0]]","[1.9999999999912506, 0.0]"
"[[38.0, -7.0], [38.0, -6.0], [37.0, -6.0], [37.0, -6.0]]","[1.9999999999906863, 0.0]"
"[[37.0, -6.0], [36.0, -6.0], [36.0, -6.0], [36.0, -7.0]]","[1.999999999838427, 0.0]"
"[[36.0, -6.0], [36.0, -6.0], [36.0, -7.0], [35.0, -7.0]]","[1.9999999998575355, 0.0]"
"[[36.0, -6.0], [36.0, -7.0], [35.0, -7.0], [35.0, -8.0]]","[1.9999999994842557, 0.0]"
"[[36.0, -7.0], [35.0, -7.0], [35.0, -8.0], [35.0, -8.0]]","[1.9999999995961395, 0.0]"
"[[35.0, -7.0], [35.0, -8.0], [35.0, -8.0], [34.0, -9.0]]","[1.9999999992739144, 0.0]"
"[[35.0, -8.0], [35.0, -8.0], [34.0, -9.0], [34.0, -9.0]]","[1.9999999990791244, 0.0]"
"[[35.0, -8.0], [34.0, -9.0], [34.0, -9.0], [34.0, -10.0]]","[1.999999999321262, 0.0]"
"[[34.0, -9.0], [34.0, -9.0], [34.0, -10.0], [33.0, -11.0]]","[1.999999999470885, 0.0]"
"[[34.0, -9.0], [34.0, -10.0], [33.0, -11.0], [33.0, -12.0]]","[1.9999999810919817, 0.0]"
"[[34.0, -10.0], [33.0, -11.0], [33.0, -12.0], [33.0, -12.0]]","[1.999999998926128, 0.0]"
"[[33.0, -11.0], [33.0, -12.0], [33.0, -12.0], [32.0, -13.0]]","[1.9999999982670533, 0.0]"
"[[33.0, -12.0], [33.0, -12.0], [32.0, -13.0], [32.0, -14.0]]","[1.9999999934990353, 0.0]"
"[[32.0, -13.0], [32.0, -14.0], [32.0, -15.0], [31.0, -16.0]]","[1.9999999983612389, 0.0]"
"[[32.0, -14.0], [32.0, -15.0], [31.0, -16.0], [31.0, -17.0]]","[1.9999999986230876, 0.0]"
"[[31.0, -16.0], [31.0, -17.0], [31.0, -18.0], [30.0, -18.0]]","[1.999999999375492, 0.0]"
"[[31.0, -17.0], [31.0, -18.0], [30.0, -18.0], [30.0, -19.0]]","[1.999999997891261, 0.0]"
"[[31.0, -18.0], [30.0, -18.0], [30.0, -19.0], [30.0, -20.0]]","[-23.526999999999997, 1.9999999982091259]"
"[[30.0, -18.0], [30.0, -19.0], [30.0, -20.0], [29.0, -21.0]]","[-91.0, -70.0]"
"[[30.0, -19.0], [30.0, -20.0], [29.0, -21.0], [29.0, -21.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [None, None], [40.0, -8.0]]","[1.9999999999622202, 0.0]"
"[[None, None], [None, None], [40.0, -8.0], [39.0, -8.0]]","[1.9999999814407645, 0.0]"
"[[None, None], [40.0, -8.0], [39.0, -8.0], [39.0, -7.0]]","[1.9999999920258524, 0.0]"
"[[40.0, -8.0], [39.0, -8.0], [39.0, -7.0], [39.0, -7.0]]","[1.9999997548282777, 0.0]"
"[[39.0, -8.0], [39.0, -7.0], [39.0, -7.0], [38.0, -6.0]]","[1.999999537290753, 0.0]"
"[[39.0, -7.0], [39.0, -7.0], [38.0, -6.0], [38.0, -6.0]]","[1.9999992642321844, 0.0]"
"[[39.0, -7.0], [38.0, -6.0], [38.0, -6.0], [38.0, -6.0]]","[1.9999990421394522, 0.0]"
"[[38.0, -6.0], [38.0, -6.0], [38.0, -6.0], [37.0, -5.0]]","[1.9999999993822435, 0.0]"
"[[38.0, -6.0], [38.0, -6.0], [37.0, -5.0], [37.0, -5.0]]","[1.9999999995261293, 0.0]"
"[[38.0, -6.0], [37.0, -5.0], [37.0, -5.0], [37.0, -5.0]]","[1.9999999997140705, 0.0]"
"[[37.0, -5.0], [37.0, -5.0], [37.0, -5.0], [36.0, -5.0]]","[1.9999999998669533, 0.0]"
"[[37.0, -5.0], [37.0, -5.0], [36.0, -5.0], [36.0, -6.0]]","[1.9999999967276403, 0.0]"
"[[37.0, -5.0], [36.0, -5.0], [36.0, -6.0], [36.0, -6.0]]","[1.9999999866932252, 0.0]"
"[[36.0, -5.0], [36.0, -6.0], [36.0, -6.0], [35.0, -6.0]]","[1.999999979262311, 0.0]"
"[[36.0, -6.0], [36.0, -6.0], [35.0, -6.0], [35.0, -7.0]]","[1.9999999996263993, 0.0]"
"[[36.0, -6.0], [35.0, -6.0], [35.0, -7.0], [35.0, -7.0]]","[1.999999999666613, 0.0]"
"[[35.0, -6.0], [35.0, -7.0], [35.0, -7.0], [34.0, -8.0]]","[1.9999999984923953, 0.0]"
"[[35.0, -7.0], [35.0, -7.0], [34.0, -8.0], [34.0, -8.0]]","[1.999999998737123, 0.0]"
"[[35.0, -7.0], [34.0, -8.0], [34.0, -8.0], [34.0, -9.0]]","[1.999999998688078, 0.0]"
"[[34.0, -8.0], [34.0, -8.0], [34.0, -9.0], [33.0, -10.0]]","[1.9999999982259857, 0.0]"
"[[34.0, -8.0], [34.0, -9.0], [33.0, -10.0], [33.0, -11.0]]","[1.999999995689742, 0.0]"
"[[34.0, -9.0], [33.0, -10.0], [33.0, -11.0], [33.0, -12.0]]","[1.9999999957379861, 0.0]"
"[[33.0, -10.0], [33.0, -11.0], [33.0, -12.0], [32.0, -12.0]]","[1.999999996156741, 0.0]"
"[[33.0, -11.0], [33.0, -12.0], [32.0, -12.0], [32.0, -13.0]]","[1.9999999972965499, 0.0]"
"[[33.0, -12.0], [32.0, -12.0], [32.0, -13.0], [32.0, -14.0]]","[1.9999999988190122, 0.0]"
"[[32.0, -12.0], [32.0, -13.0], [32.0, -14.0], [31.0, -15.0]]","[1.9999999991064281, 0.0]"
"[[32.0, -13.0], [32.0, -14.0], [31.0, -15.0], [31.0, -16.0]]","[1.9999999983535113, 0.0]"
"[[32.0, -14.0], [31.0, -15.0], [31.0, -16.0], [31.0, -17.0]]","[1.999999949601139, 0.0]"
"[[31.0, -15.0], [31.0, -16.0], [31.0, -17.0], [30.0, -17.0]]","[1.9999999945220506, 0.0]"
"[[31.0, -16.0], [31.0, -17.0], [30.0, -17.0], [30.0, -18.0]]","[1.9999999965469617, 0.0]"
"[[31.0, -17.0], [30.0, -17.0], [30.0, -18.0], [30.0, -19.0]]","[-23.589999999999996, 1.9999999972179219]"
"[[30.0, -17.0], [30.0, -18.0], [30.0, -19.0], [29.0, -20.0]]","[-91.0, -70.0]"
"[[30.0, -18.0], [30.0, -19.0], [29.0, -20.0], [29.0, -20.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [None, None], [40.0, 0.0]]","[1.9999999962626243, 0.0]"
"[[None, None], [None, None], [40.0, 0.0], [39.0, 1.0]]","[1.9999999926076488, 0.0]"
"[[None, None], [40.0, 0.0], [39.0, 1.0], [39.0, 2.0]]","[1.9999999754056812, 0.0]"
"[[40.0, 0.0], [39.0, 1.0], [39.0, 2.0], [39.0, 2.0]]","[1.999999976563823, 0.0]"
"[[39.0, 1.0], [39.0, 2.0], [39.0, 2.0], [38.0, 3.0]]","[1.99999999250709, 0.0]"
"[[39.0, 2.0], [39.0, 2.0], [38.0, 3.0], [38.0, 3.0]]","[1.999999948780452, 0.0]"
"[[39.0, 2.0], [38.0, 3.0], [38.0, 3.0], [38.0, 3.0]]","[1.9999999185346544, 0.0]"
"[[38.0, 3.0], [38.0, 3.0], [38.0, 3.0], [37.0, 3.0]]","[1.9999994042619493, 0.0]"
"[[38.0, 3.0], [38.0, 3.0], [37.0, 3.0], [37.0, 4.0]]","[1.9999993736923487, 0.0]"
"[[38.0, 3.0], [37.0, 3.0], [37.0, 4.0], [37.0, 4.0]]","[1.9999998389946076, 0.0]"
"[[37.0, 3.0], [37.0, 4.0], [37.0, 4.0], [36.0, 3.0]]","[1.9999999584035142, 0.0]"
"[[37.0, 4.0], [37.0, 4.0], [36.0, 3.0], [36.0, 3.0]]","[1.9999999879047885, 0.0]"
"[[37.0, 4.0], [36.0, 3.0], [36.0, 3.0], [36.0, 3.0]]","[1.9999999954658274, 0.0]"
"[[36.0, 3.0], [36.0, 3.0], [36.0, 3.0], [35.0, 3.0]]","[1.9999999977743363, 0.0]"
"[[36.0, 3.0], [36.0, 3.0], [35.0, 3.0], [35.0, 2.0]]","[1.9999999973343403, 0.0]"
"[[36.0, 3.0], [35.0, 3.0], [35.0, 2.0], [35.0, 2.0]]","[1.9999999962554709, 0.0]"
"[[35.0, 3.0], [35.0, 2.0], [35.0, 2.0], [34.0, 1.0]]","[1.9999999966562747, 0.0]"
"[[35.0, 2.0], [35.0, 2.0], [34.0, 1.0], [34.0, 0.0]]","[1.999999995487821, 0.0]"
"[[35.0, 2.0], [34.0, 1.0], [34.0, 0.0], [34.0, -0.0]]","[1.999999991972929, 0.0]"
"[[34.0, 1.0], [34.0, 0.0], [34.0, -0.0], [33.0, -1.0]]","[1.9999999900638534, 0.0]"
"[[34.0, 0.0], [34.0, -0.0], [33.0, -1.0], [33.0, -2.0]]","[1.9999999890491065, 0.0]"
"[[34.0, -0.0], [33.0, -1.0], [33.0, -2.0], [33.0, -3.0]]","[1.9999999893730152, 0.0]"
"[[33.0, -1.0], [33.0, -2.0], [33.0, -3.0], [32.0, -4.0]]","[1.9999999815414458, 0.0]"
"[[33.0, -2.0], [33.0, -3.0], [32.0, -4.0], [32.0, -4.0]]","[1.9999999775398936, 0.0]"
"[[33.0, -3.0], [32.0, -4.0], [32.0, -4.0], [32.0, -5.0]]","[1.9999999866461962, 0.0]"
"[[32.0, -4.0], [32.0, -4.0], [32.0, -5.0], [31.0, -6.0]]","[1.99999999504083, 0.0]"
"[[32.0, -4.0], [32.0, -5.0], [31.0, -6.0], [31.0, -7.0]]","[1.9999999978004062, 0.0]"
"[[32.0, -5.0], [31.0, -6.0], [31.0, -7.0], [31.0, -8.0]]","[1.9999999948508504, 0.0]"
"[[31.0, -6.0], [31.0, -7.0], [31.0, -8.0], [30.0, -9.0]]","[1.9999978839888657, 0.0]"
"[[31.0, -7.0], [31.0, -8.0], [30.0, -9.0], [30.0, -9.0]]","[1.999997387359182, 0.0]"
"[[31.0, -8.0], [30.0, -9.0], [30.0, -9.0], [30.0, -10.0]]","[-23.526999999999997, 1.999999030921706]"
"[[30.0, -9.0], [30.0, -9.0], [30.0, -10.0], [29.0, -11.0]]","[-91.0, -70.0]"
"[[30.0, -9.0], [30.0, -10.0], [29.0, -11.0], [29.0, -11.0]]","[0.0, 0.0]"
"[[40.0, -6.0], [39.0, -6.0], [39.0, -5.0], [39.0, -4.0]]","[1.9999999992846216, 0.0]"
"[[39.0, -6.0], [39.0, -5.0], [39.0, -4.0], [38.0, -4.0]]","[1.9999999963796862, 0.0]"
"[[39.0, -5.0], [39.0, -4.0], [38.0, -4.0], [38.0, -4.0]]","[1.9999999957087073, 0.0]"
"[[39.0, -4.0], [38.0, -4.0], [38.0, -4.0], [38.0, -4.0]]","[1.9999999924067717, 0.0]"
"[[38.0, -4.0], [38.0, -4.0], [38.0, -4.0], [37.0, -3.0]]","[1.9999999907254709, 0.0]"
"[[38.0, -4.0], [38.0, -4.0], [37.0, -3.0], [37.0, -3.0]]","[1.9999999729047275, 0.0]"
