state_history,actions
"[[37.0, -9.0], [37.0, -10.0], [36.0, -11.0], [36.0, -12.0]]","[0.0, 0.0]"
"[[37.0, -10.0], [36.0, -11.0], [36.0, -12.0], [36.0, -13.0]]","[-24.5, 0.0]"
"[[36.0, -11.0], [36.0, -12.0], [36.0, -13.0], [35.0, -14.0]]","[-91.0, -70.0]"
"[[36.0, -12.0], [36.0, -13.0], [35.0, -14.0], [35.0, -14.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [None, None], [48.0, -8.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [48.0, -8.0], [47.0, -7.0]]","[0.0, 0.0]"
"[[None, None], [48.0, -8.0], [47.0, -7.0], [47.0, -6.0]]","[0.0, 0.0]"
"[[48.0, -8.0], [47.0, -7.0], [47.0, -6.0], [46.0, -6.0]]","[0.0, 0.0]"
"[[47.0, -7.0], [47.0, -6.0], [46.0, -6.0], [46.0, -5.0]]","[0.0, 0.0]"
"[[47.0, -6.0], [46.0, -6.0], [46.0, -5.0], [46.0, -5.0]]","[0.0, 0.0]"
"[[46.0, -6.0], [46.0, -5.0], [46.0, -5.0], [45.0, -4.0]]","[0.0, 0.0]"
"[[46.0, -5.0], [46.0, -5.0], [45.0, -4.0], [45.0, -4.0]]","[0.0, 0.0]"
"[[46.0, -5.0], [45.0, -4.0], [45.0, -4.0], [44.0, -4.0]]","[0.0, 0.0]"
"[[45.0, -4.0], [45.0, -4.0], [44.0, -4.0], [44.0, -4.0]]","[0.0, 0.0]"
"[[45.0, -4.0], [44.0, -4.0], [44.0, -4.0], [44.0, -4.0]]","[0.0, 0.0]"
"[[44.0, -4.0], [44.0, -4.0], [44.0, -4.0], [43.0, -4.0]]","[0.0, 0.0]"
"[[44.0, -4.0], [44.0, -4.0], [43.0, -4.0], [43.0, -5.0]]","[0.0, 0.0]"
"[[44.0, -4.0], [43.0, -4.0], [43.0, -5.0], [42.0, -5.0]]","[0.0, 0.0]"
